Handle,Rating,MM Count,Avg Rank,Avg Submissions,Best Rank,Num Wins,Num Top 5,Num Top 10,Rank,Percentile,Volatility,Low Rating,High Rating,Country Rank,Last Round,Last Round Date,Num Ranked,Num Country Ranked,School Rank,Num School Ranked
xin135,1330,1,29,3,29,0,0,0,,,385,1330,1330,,Design of Experiments Challeng,10/17/2014,279,0,,0
zaq1xsw2tktk,1924,41,62.31707317,10.14634146,2,0,7,10,27,90.3226,489,572,2043,6,Marathon Match 86,2/23/2015,279,26,1,1
MonicaMuranyi,,,,,,0,0,0,,,,,,,,,279,0,,0
mra,614,1,57,1,57,0,0,0,275,1.4337,385,614,614,2,Child Stuntedness 3,12/4/2014,279,2,,0
eldidou,2633,11,8.818181818,20.90909091,1,3,7,9,5,98.2079,429,1930,2633,1,Marathon Match 86,2/23/2015,279,18,,0
vitux,,,,,,0,0,0,,,,,,,,,279,0,,0
gkeesh7,,,,,,0,0,0,,,,,,,,,279,0,,0
JRSSKumarD,1610,7,16,28.71428571,7,0,0,1,54,80.6452,491,954,1610,1,Child Stuntedness 5,2/19/2015,279,13,,0
marchyoung,1025,1,35,0,35,0,0,0,187,32.9749,385,1025,1025,31,Child Stuntedness 3,12/4/2014,279,57,,0
dhbellol,921,3,117,8.75,1,1,1,1,,,469,921,1209,,TCO09 MM Round 1,2/25/2009,279,0,,0
dexy,1107,1,143,1,143,0,0,0,,,385,1107,1107,,Marathon Match 56,10/1/2009,279,0,,0
kino,1150,13,34,3.923076923,3,0,1,1,,,359,1032,1259,,Marathon Match,8/11/2014,279,0,,0
izhari,1227,32,154.78125,8.25,37,0,0,0,,,285,626,1260,,Marathon Match 86,2/23/2015,279,0,,0
Johan.de.Ruiter,1067,20,147.6315789,3.4,1,1,1,1,,,322,939,1375,,TCO14 Round 3,6/25/2014,279,0,,0
alecn2002,872,57,122.6140351,2.894736842,3,0,2,2,,,289,728,1252,,AlleleClassifier,2/7/2014,279,0,,0
Vardan(RAU),,,,,,0,0,0,,,,,,,,,279,0,,0
sukides,1400,2,40.5,2,20,0,0,0,,,302,1400,1423,,AlleleClassifier,2/7/2014,279,0,,0
nkshn,,,,,,0,0,0,,,,,,,,,279,0,,0
azneye,850,29,90.5,1.103448276,10,0,0,1,241,13.6201,279,680,908,5,Marathon Match 86,2/23/2015,279,6,1,2
martinezgjuan,1565,1,55,19,55,0,0,0,,,385,1565,1565,,TCO13 Round 1,3/27/2013,279,0,,0
SebM,1302,12,91.83333333,7.25,1,1,1,1,100,64.1577,273,1271,1589,9,Marathon Match 86,2/23/2015,279,18,,0
T_I_W_A_R_Y,,,,,,0,0,0,,,,,,,,,279,0,,0
StarCuriosity,,,,,,0,0,0,,,,,,,,,279,0,,0
_Kevin,1088,1,48,3,48,0,0,0,158,43.3692,385,1088,1088,21,Child Stuntedness 5,2/19/2015,279,57,,0
jasonw,,,,,,0,0,0,,,,,,,,,279,0,,0
ivan_metelsky,1711,6,44.33333333,1.666666667,10,0,0,1,,,441,1453,1711,,Marathon Match,8/11/2014,279,0,,0
maniek,1893,36,60,4.894736842,3,0,1,4,,,328,1183,1929,,TCO11 Round 2,6/1/2011,279,0,,0
FCoskun,,,,,,0,0,0,,,,,,,,,279,0,,0
fazam,,,,,,0,0,0,,,,,,,,,279,0,,0
DrWhatsisname,,,,,,0,0,0,,,,,,,,,279,0,,0
jun22,1354,1,45,1,45,0,0,0,,,385,1354,1354,,Marathon Match,8/11/2014,279,0,,0
limed,1937,6,26.5,24.66666667,7,0,0,2,,,265,1516,1942,,Marathon Match 86,2/23/2015,279,0,,0
tbell,1418,1,23,3,23,0,0,0,,,385,1418,1418,,Asteroid Data Hunter MM 1,4/18/2014,279,0,,0
toshif,,,,,,0,0,0,,,,,,,,,279,0,,0
YDesai,996,3,53.33333333,1.333333333,25,0,0,0,197,29.3907,254,966,999,35,Marathon Match 86,2/23/2015,279,57,,0
xsymphonyx,1083,3,67.33333333,5.666666667,24,0,0,0,159,43.0108,357,923,1083,14,Trip Safety,1/26/2015,279,18,,0
