ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,anonymous,(not set),20150303,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,(not set),20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,(not set),20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,(not set),20150305,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Albania,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150302,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150303,9,4,1,65436,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150303,10,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150303,21,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150304,8,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150304,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150304,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Argentina,20150306,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Armenia,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Armenia,20150305,1,2,2,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150302,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150303,2,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150303,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150304,17,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150305,1,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150305,2,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150305,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Australia,20150305,7,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Austria,20150304,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Austria,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Azerbaijan,20150305,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Bangladesh,20150303,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,8,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,9,10,7,163590,16359,6,1.666666667
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,10,16,4,261744,16359,2,8
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,11,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150303,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150304,6,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150304,9,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150304,18,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,2,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,3,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,11,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150305,17,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150306,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150306,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150306,9,3,1,49077,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Belarus,20150306,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Bolivia,20150302,16,4,1,65436,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,Bolivia,20150303,20,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Bolivia,20150304,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Bolivia,20150304,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Bolivia,20150304,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Bolivia,20150304,21,1,1,16359,16359,1,1
